database,chunk_size,overlap,clean,embedding,chunks_processed,time_to_process,used_memory_mb,query_time
chroma,500,50,False,mxbai-embed-large,293,15.794838190078735,0.572265625,7.665609836578369
chroma,500,100,True,nomic-embed-text,296,11.910701036453247,0.8671875,7.7622480392456055
chroma,500,100,False,nomic-embed-text,296,12.079988956451416,0.8671875,7.0992209911346436
chroma,500,100,True,mxbai-embed-large,296,17.307463884353638,0.578125,10.299643993377686
chroma,500,100,False,mxbai-embed-large,296,16.246453046798706,0.578125,8.821919202804565
chroma,1000,0,True,nomic-embed-text,278,12.343737840652466,0.814453125,7.153979778289795
chroma,1000,0,False,nomic-embed-text,278,12.792093276977539,0.814453125,6.628716945648193
chroma,1000,0,True,mxbai-embed-large,278,15.098090887069702,0.54296875,8.71045207977295
chroma,1000,0,False,mxbai-embed-large,278,16.06719994544983,0.54296875,7.73749303817749
chroma,1000,50,True,nomic-embed-text,278,12.602670907974243,0.814453125,8.809148788452148
chroma,1000,50,False,nomic-embed-text,278,13.716155052185059,0.814453125,8.60571026802063
chroma,1000,50,True,mxbai-embed-large,278,15.448904037475586,0.54296875,7.523483991622925
chroma,1000,50,False,mxbai-embed-large,278,15.17366886138916,0.54296875,7.785008907318115
chroma,1000,100,True,nomic-embed-text,279,12.159725189208984,0.8173828125,7.100749969482422
chroma,1000,100,False,nomic-embed-text,280,12.711884021759033,0.8203125,6.933785915374756
chroma,1000,100,True,mxbai-embed-large,279,15.207256078720093,0.544921875,8.032176971435547
chroma,1000,100,False,mxbai-embed-large,280,16.122312307357788,0.546875,8.64405083656311
milvus,100,0,True,nomic-embed-text,415,11.788779020309448,3.1103973388671875,14.76937198638916
milvus,100,0,False,nomic-embed-text,423,11.832249879837036,3.1103973388671875,16.333351850509644
milvus,100,0,True,mxbai-embed-large,415,11.537021398544312,3.1103973388671875,15.96245789527893
milvus,100,0,False,mxbai-embed-large,423,12.00320291519165,3.1103973388671875,15.185611009597778
milvus,100,0,True,bge-m3,415,11.855153799057007,3.1103973388671875,14.15441608428955
milvus,100,0,False,bge-m3,423,11.772182941436768,3.1103973388671875,15.31361198425293
milvus,100,50,True,nomic-embed-text,637,13.702938079833984,3.1103973388671875,14.813677072525024
milvus,100,50,False,nomic-embed-text,669,15.157618999481201,3.1103973388671875,15.683090925216675
milvus,100,50,True,mxbai-embed-large,637,14.461443185806274,3.1103973388671875,14.575019836425781
milvus,100,50,False,mxbai-embed-large,669,15.69400405883789,3.1103973388671875,15.319030046463013
milvus,100,50,True,bge-m3,637,14.325133085250854,3.1103973388671875,14.01356291770935
milvus,100,50,False,bge-m3,669,15.050145626068115,3.1103973388671875,14.71608018875122
milvus,300,0,True,nomic-embed-text,303,9.254928827285767,3.1103973388671875,15.037540912628174
milvus,300,0,False,nomic-embed-text,305,9.845091104507446,3.1103973388671875,14.543105125427246
milvus,300,0,True,mxbai-embed-large,303,8.990425825119019,3.1103973388671875,14.619127035140991
milvus,300,0,False,mxbai-embed-large,305,10.343837022781372,3.1103973388671875,14.137408018112183
milvus,300,0,True,bge-m3,303,9.411896228790283,3.1103973388671875,14.33451509475708
milvus,300,0,False,bge-m3,305,9.701189041137695,3.1103973388671875,15.090121984481812
milvus,300,50,True,nomic-embed-text,315,9.769206762313843,3.1103973388671875,15.249721765518188
milvus,300,50,False,nomic-embed-text,317,9.769124269485474,3.1103973388671875,15.251330137252808
milvus,300,50,True,mxbai-embed-large,315,9.81721019744873,3.1103973388671875,14.738481998443604
milvus,300,50,False,mxbai-embed-large,317,9.265378952026367,3.1103973388671875,14.117188930511475
milvus,300,50,True,bge-m3,315,8.785283088684082,3.1103973388671875,14.858088254928589
milvus,300,50,False,bge-m3,317,9.131211042404175,3.1103973388671875,14.155811786651611
milvus,300,100,True,nomic-embed-text,329,8.818299055099487,3.1103973388671875,15.183984994888306
milvus,300,100,False,nomic-embed-text,332,9.85505485534668,3.1103973388671875,14.534258127212524
milvus,300,100,True,mxbai-embed-large,329,9.510715961456299,3.1103973388671875,14.02783489227295
milvus,300,100,False,mxbai-embed-large,332,9.999921083450317,3.1103973388671875,14.26555871963501
milvus,300,100,True,bge-m3,329,9.678692102432251,3.1103973388671875,14.121539115905762
milvus,300,100,False,bge-m3,332,10.257219791412354,3.1103973388671875,15.114830255508423
milvus,500,0,True,nomic-embed-text,290,9.853337049484253,3.1103973388671875,15.70870304107666
milvus,500,0,False,nomic-embed-text,290,9.981399059295654,3.1103973388671875,14.626792907714844
milvus,500,0,True,mxbai-embed-large,290,9.320928573608398,3.1103973388671875,15.721827983856201
milvus,500,0,False,mxbai-embed-large,290,9.264939069747925,3.1103973388671875,15.323019981384277
milvus,500,0,True,bge-m3,290,9.586091995239258,3.1103973388671875,15.671775102615356
milvus,500,0,False,bge-m3,290,10.396375179290771,3.1103973388671875,15.650751829147339
milvus,500,50,True,nomic-embed-text,292,9.469976902008057,3.1103973388671875,15.387750148773193
milvus,500,50,False,nomic-embed-text,293,10.852317810058594,3.1103973388671875,16.029247045516968
milvus,500,50,True,mxbai-embed-large,292,9.657527923583984,3.1103973388671875,15.469594955444336
milvus,500,50,False,mxbai-embed-large,293,9.537792682647705,3.1103973388671875,15.208586931228638
milvus,500,50,True,bge-m3,292,9.770673990249634,3.1103973388671875,15.348912954330444
milvus,500,50,False,bge-m3,293,9.565102100372314,3.1103973388671875,15.326411962509155
milvus,500,100,True,nomic-embed-text,296,9.71779203414917,3.1103973388671875,15.449842929840088
